reason,name,modelNumber,manufacturer,vendor,description,category,unit,tier,collection,color,finish,price,productUrl,imageUrl,sourceWorkbook,sourceSheet,sourceRow,confidence
missing_manufacturer,Shower Arm Diverter Valve,CL703,,,,,ea,,,,,106.53,,,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,679 | 650,high
missing_manufacturer,Shower Arm Diverter Valve BN,CL703,,Ferguson,Shower Arm Diverter Valve BN 106.535 1.0,Plumbing,ea,,,,,0.00,,,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,214,high
missing_manufacturer,14 PCS,D-CA78096,,Home Depot,,,ea,,,,,1990.91,https://www.homedepot.com/p/Cap-A-Tread-2-Pack-Navarra-Maple-47-in-L-x-12-15-in-W-x-2-28-in-T-Vinyl-Overlay-Stair-Tread-and-Reversible-Riser-01D-CA78096/333401871,,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,6 | 136 | 3,high
missing_manufacturer,Tub Drain -Kingston Brass,DLL200MB,,Ferguson Home,,Tub,ea,,,,,54.44,https://www.fergusonhome.com/kingston-brass-dll20/s478717?uid=3673997,,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,88 | 172 | 67 | 160 | 271,high
missing_manufacturer,Tub Drain -Kingston Brass 55 54. Fer,DLL200MB,,Ferguson,Tub Drain -Kingston Brass 55 54.4428 Home,Plumbing,ea,,,,,54.44,https://www.fergusonhome.com/kingston-brass-dll20/s478717?uid=3673997,,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,161 | 124,high
missing_manufacturer,"DreamLine SlimLine 30"" x 60"" Shower Base with Single Threshold and Left-Side Drain",DLT-1130601,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/dreamline-dlt-1130601/s822259?uid=2121664,,Product_Master_Extract.xlsx,Sheet1,18,high
missing_manufacturer,DreamLine SlimLine Shower Drain - Brushed Nickel,DN09X02R04,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/dreamline-dn09x02r/s2086405?uid=5094657&_br_psugg_q=dreamline+shower+drain,,Product_Master_Extract.xlsx,Sheet1,19,high
missing_manufacturer,tub overflow - Kingston Brass,DTT100MB,,Ferguson Home,,Tub,ea,,,,,44.23,https://www.fergusonhome.com/kingston-brass-dtt10/s483276?uid=3674010,,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,97 | 173 | 73 | 169 | 272,high
missing_manufacturer,tub overflow - Kingston Brass 45 44.,DTT100MB,,Ferguson,tub overflow - Kingston Brass 45 44.226000000000006 Home,Plumbing,ea,,,,,44.23,https://www.fergusonhome.com/kingston-brass-dtt10/s483276?uid=3674010,,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,162 | 125,high
missing_manufacturer,"Zenna Home Medicine Cabinet 24"" x 30""",EMRA2430,,Home Depot,"Zenna Home Medicine Cabinet 24"" x 30"" 200 210.492125",Cabinetry,ea,,,,,210.49,https://www.homedepot.com/p/Zenna-Home-24-in-W-x-30-in-H-Aluminum-Frameless-Beveled-Mirror-Medicine-Cabinet-EMRA2430/207018216,,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,100 | 183 | 75 | 173 | 287 | 134,high
missing_manufacturer,Window Master Bath Sliding windoe In Lous Estimate Endure Slider-white interior woodgrain print with,EN6000,,,Window Master Bath Sliding windoe 630.49 In Lous Estimate Endure Slider-white interior woodgrain print with Beige exterior,,ea,,,white,white,0.00,,,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,202 | 141,high
