workbook,sheet,row,name,modelNumber,manufacturer,vendor,description,category,price,url,finish,color,collection,is_noise
normalized_products_db.xlsx,Sheet1,1117,Grout Dusty Grey & Fossil  102.7 Floor & Décor 0.0 2025-08-13 00:00:00 False 0.0,,,Floor & Décor,Grout Dusty Grey & Fossil  102.7 Floor & Décor 0.0 2025-08-13 00:00:00 False 0.0,Flooring,0,,,,,0
normalized_products_db.xlsx,Sheet1,1119,Mirror - Wants lighted Mirror  200 257.6 Amazon  2025-08-12 00:00:00 X,,,Amazon,Mirror - Wants lighted Mirror  200 257.6 Amazon  2025-08-12 00:00:00 X,Electrical,0,,,,,0
normalized_products_db.xlsx,Sheet1,1120,medicine Cabinet  250 149.39 Amazon  2025-08-12 00:00:00,,,Amazon,medicine Cabinet  250 149.39 Amazon  2025-08-12 00:00:00,Cabinetry,0,,,,,0
normalized_products_db.xlsx,Sheet1,1121,Exhaust Fan no light  400 100.26 Ferguson  2025-08-18 00:00:00,,,Ferguson,Exhaust Fan no light  400 100.26 Ferguson  2025-08-18 00:00:00,Electrical,0,,,,,0
normalized_products_db.xlsx,Sheet1,1122,Light Fixtures  250 377.89 Idlewood,,,Idlewood,Light Fixtures  250 377.89 Idlewood,Electrical,377.89,,,,,0
normalized_products_db.xlsx,Sheet1,1131,2 Faucet -  7195.07 Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,,,Ferguson,2 Faucet -  7195.07 Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1132,"2 - Sinks Undermount 20"" Rec Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0",,,Ferguson,"2 - Sinks Undermount 20"" Rec Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0",Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1133,Toilet Comfort Elongated  Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,,,Ferguson,Toilet Comfort Elongated  Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1134,Shower  Valve  Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,,,Ferguson,Shower  Valve  Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1135,Valve Trim Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,,,Ferguson,Valve Trim Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1136,Diverter Valve & Trim  Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,,,Ferguson,Diverter Valve & Trim  Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1137,Handheld - Hose  Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,,,Ferguson,Handheld - Hose  Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,,0,,,,,0
normalized_products_db.xlsx,Sheet1,1138,Hook for hose  Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,,,Ferguson,Hook for hose  Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,,0,,,,,0
normalized_products_db.xlsx,Sheet1,1139,Shower Head  Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,,,Ferguson,Shower Head  Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1140,Drop L  Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,,,Ferguson,Drop L  Ferguson  0.0 False 2025-07-29 00:00:00 False 0.0,,0,,,,,0
normalized_products_db.xlsx,Sheet1,1147,Tile  20 Sq FT Shower Floor Tile  2044.74 ProSource  0.0 2025-07-06 00:00:00 False False 0.0,,,ProSource,Tile  20 Sq FT Shower Floor Tile  2044.74 ProSource  0.0 2025-07-06 00:00:00 False False 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1148,100 Sq Ft Shower Wall Tile  ProSource  0.0 2025-07-06 00:00:00 False False 0.0,,,ProSource,100 Sq Ft Shower Wall Tile  ProSource  0.0 2025-07-06 00:00:00 False False 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1149,100 Sq Ft Bath Floor Tile  ProSource  0.0 2025-07-06 00:00:00 False False 0.0,,,ProSource,100 Sq Ft Bath Floor Tile  ProSource  0.0 2025-07-06 00:00:00 False False 0.0,Flooring,0,,,,,0
normalized_products_db.xlsx,Sheet1,1150,20 Linear Ft Tile Edge Trim  ProSource  0.0 2025-07-06 00:00:00 False False 0.0,,,ProSource,20 Linear Ft Tile Edge Trim  ProSource  0.0 2025-07-06 00:00:00 False False 0.0,Flooring,0,,,,,0
normalized_products_db.xlsx,Sheet1,1151,8 Linear ft Niche Trim  ProSource  0.0 2025-07-06 00:00:00 False False 0.0,,,ProSource,8 Linear ft Niche Trim  ProSource  0.0 2025-07-06 00:00:00 False False 0.0,,0,,,,,0
normalized_products_db.xlsx,Sheet1,1152,2- 25 Bags of Grout  185.58 Floor & Décor 0.0 2025-07-06 00:00:00 True 2025-07-09 00:00:00 True 0.0,,,Floor & Décor,2- 25 Bags of Grout  185.58 Floor & Décor 0.0 2025-07-06 00:00:00 True 2025-07-09 00:00:00 True 0.0,Flooring,0,,,,,0
normalized_products_db.xlsx,Sheet1,1153,2 - Match Tubes Caulk  Floor & Décor 0.0 2025-07-06 00:00:00 True 2025-07-09 00:00:00 True 0.0,,,Floor & Décor,2 - Match Tubes Caulk  Floor & Décor 0.0 2025-07-06 00:00:00 True 2025-07-09 00:00:00 True 0.0,Plumbing,0,,,,,0
